ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-16,33,56650,605,Employed,Doctorate,11,12652,36,Single,1,Mortgage,336,0.4234308630650563,4,0,0.0441568040602275,0,Auto,0,21,15,242,131,261435,11144,4720.833333333333,0.8372135908452825,2,250291,0.195152,0.2164127524804118,480.8408279537298,0.1730289485515403,1,33.6
2018-01-17,27,50042,582,Employed,Doctorate,7,19105,60,Single,1,Rent,680,0.1039191338396645,6,3,0.308869314312398,0,Debt Consolidation,0,36,14,2214,1219,11162,89196,4170.166666666667,0.9208669734304104,5,7021,0.233105,0.1871293871402189,492.58144374273706,0.2811833524821718,0,53.0
2018-01-18,43,142326,644,Employed,Bachelor,24,13499,96,Widowed,2,Mortgage,772,0.2225792308926875,1,2,0.29546987577122,0,Other,0,18,2,13247,856,73836,4213,11860.5,0.9710625003288936,5,69623,0.226499,0.2237947653068069,303.1952309300833,0.090653448921216,1,39.2
2018-01-19,29,16021,553,Employed,High School,8,14655,72,Single,0,Rent,286,0.5560300102027713,5,1,0.1045686898825265,0,Debt Consolidation,1,25,12,8651,1127,29278,25345,1335.0833333333333,0.9491878340554412,4,3933,0.253155,0.2347662128605438,381.1768758297885,0.4997267654926323,0,59.0
2018-01-20,23,34698,594,Employed,Associate,0,14314,60,Widowed,3,Mortgage,755,0.1872028404084978,5,0,0.1005979617163389,0,Debt Consolidation,0,27,29,3721,2098,128035,72605,2891.5,0.874070288426121,5,55430,0.222314,0.2314783138154811,404.73508890905856,0.4010842430949536,0,48.0
2018-01-21,57,106749,630,Employed,Master,30,15698,48,Single,0,Rent,1059,0.1325425984776519,0,1,0.1472796820224425,0,Auto,0,21,14,1686,4304,212568,8152,8895.75,0.8543548081496882,4,204416,0.195698,0.2044126918976523,481.3942885517428,0.1731606990474937,1,32.800000000000004
2018-01-22,37,59138,594,Employed,Associate,14,13205,72,Married,0,Own,564,0.3937721883778739,2,1,0.1116632265342507,0,Auto,0,18,9,1187,5192,24257,18681,4928.166666666667,0.8131010247954645,4,5576,0.231205,0.2114439606199491,325.1174211273312,0.1804154528987787,0,51.0
2018-01-23,40,114216,635,Employed,Doctorate,17,9809,60,Single,3,Rent,571,0.2241874208084188,3,1,0.6304483929012554,0,Home,0,26,2,720,2127,23984,27250,9518.0,0.8518390523096648,10,2482,0.197309,0.2011140337279482,260.48690525168723,0.0873594142941465,1,46.400000000000006
2018-01-24,22,63300,503,Employed,Associate,0,16476,24,Married,2,Rent,376,0.3896493754670718,3,1,0.2357985888572082,0,Home,0,29,7,2154,1735,14710,53225,5275.0,0.8707229525687034,5,6903,0.2399759999999999,0.231670288042,864.2694728341611,0.2351221749448646,0,53.0
2018-01-25,33,39676,555,Employed,Master,12,47795,60,Single,1,Other,199,0.3465198640320265,2,1,0.5733945375308696,0,Home,0,19,4,840,1085,157749,76577,3306.333333333333,0.5835994945074672,4,81172,0.275295,0.2534741417542575,1412.5978905237318,0.4874275301513454,0,60.0
2018-01-26,41,59192,594,Unemployed,High School,16,45608,36,Divorced,4,Mortgage,222,0.4093363654675574,4,0,0.2301158454793847,0,Auto,0,18,1,21084,3449,67609,9196,4932.666666666667,0.8443952357304327,3,58413,0.233608,0.2006826444515419,1696.5434894688626,0.3889465109073244,0,58.0
2018-01-27,26,15059,462,Employed,Associate,0,20240,24,Single,3,Other,443,0.0988217595655066,2,0,0.0670663376140666,0,Home,0,16,25,713,7335,29861,13107,1254.9166666666667,0.5990271745774041,12,16754,0.26424,0.2460206651026253,1076.2027060960763,1.2106004696960564,0,51.0
2018-01-28,44,15305,608,Self-Employed,Bachelor,23,21452,48,Single,4,Mortgage,443,0.1113146919186794,1,1,0.0631537920264881,0,Home,0,21,29,9547,979,16936,7005,1275.4166666666667,0.9076742682849762,2,9931,0.212452,0.2253753021812303,682.1440641557417,0.8821776393249853,0,51.0
2018-01-29,32,35498,622,Employed,Master,10,11136,36,Married,0,Own,698,0.3907447101416139,2,0,0.1764443521487324,0,Home,0,18,17,1346,205,34189,31484,2958.1666666666665,0.703667984211605,3,2705,0.185136,0.1648459712586028,394.1781845250898,0.369207792391151,0,48.0
2018-01-30,36,60227,576,Employed,Bachelor,14,25264,84,Divorced,3,Own,458,0.2782753429555818,3,1,0.1441126824725377,0,Home,0,27,28,5391,1993,141168,35773,5018.916666666667,0.8143479855465142,5,105395,0.262264,0.239128970981678,622.0190932780162,0.215189684349813,1,36.8
2018-01-31,32,23861,592,Self-Employed,High School,10,19570,36,Married,0,Other,521,0.2327773061723514,2,3,0.2237112245223063,0,Auto,0,29,27,3348,1072,85166,8627,1988.4166666666667,0.773488801049033,8,76539,0.20857,0.197034892145729,724.3380618289065,0.6262963304952381,0,55.0
2018-02-01,62,73843,667,Unemployed,Master,37,44668,60,Single,1,Other,388,0.2959583202347089,7,2,0.1569137013697023,1,Home,0,16,3,17023,3352,56887,90622,6153.583333333333,0.9446486535560504,5,3068,0.2161679999999999,0.2346033277950418,1271.0537546851097,0.2696077496339709,0,62.0
2018-02-02,39,61099,559,Employed,Bachelor,19,10094,84,Married,0,Mortgage,380,0.1283514136335209,1,0,0.265219566244273,0,Auto,0,21,19,2987,1795,69823,23540,5091.583333333333,0.8802478786881707,4,46283,0.255594,0.2610500458274805,262.6701511744103,0.1262220627848725,0,51.0
2018-02-03,27,15000,535,Employed,High School,4,11318,120,Single,2,Mortgage,721,0.5827549421963798,2,3,0.4483848187309043,0,Home,0,15,18,4172,3835,303949,13680,1250.0,0.8655246599640286,1,290269,0.298818,0.3435940105064144,335.3986467038278,0.8451189173630622,0,53.0
2018-02-04,49,34738,520,Employed,Associate,25,10166,72,Single,2,Mortgage,388,0.5663402048797452,3,3,0.3145138105264432,0,Home,0,27,4,1767,2757,249298,10972,2894.833333333333,0.8798337627925418,2,238326,0.265166,0.2739332434358121,288.9598327490928,0.2338510562781137,0,55.0
2018-02-05,25,85889,571,Employed,Bachelor,3,24186,72,Married,2,Rent,870,0.3316567652324292,4,0,0.0505386436633547,0,Education,0,31,10,14921,1110,18899,5554,7157.416666666667,0.9056850659655092,4,13345,0.253686,0.2796177481671844,696.1364545483091,0.2188130896224162,0,49.0
2018-02-06,42,78701,552,Employed,Associate,18,18326,60,Married,1,Rent,482,0.1880053011286133,6,1,0.0713019781228963,0,Home,0,25,19,463,1585,170720,30154,6558.416666666667,0.706246374378828,7,140566,0.247326,0.2189123509215851,505.01155031559216,0.1504954016313275,1,36.0
2018-02-07,18,24914,604,Employed,Master,0,8015,36,Married,4,Mortgage,327,0.3761587952008543,1,4,0.6442658599722689,0,Auto,0,17,28,2612,199,49999,8146,2076.1666666666665,0.9260164572637286,7,41853,0.191015,0.152812,278.94758109438794,0.2918588333118991,1,45.6
2018-02-08,24,57231,508,Unemployed,Associate,0,35876,48,Married,4,Rent,370,0.572203517627025,3,0,0.1347406133958152,0,Auto,0,20,21,7737,242,214229,73682,4769.25,0.5089668709503604,8,140547,0.276876,0.2304681982164745,1150.799076487652,0.3188759399250725,0,50.0
2018-02-09,42,163303,655,Self-Employed,Bachelor,23,12850,72,Single,2,Other,337,0.3579693126478545,3,0,0.072959105598751,0,Debt Consolidation,0,19,1,3012,309,115322,17900,13608.583333333334,0.9150967945185952,8,97422,0.20035,0.1895312940882554,300.0461613403112,0.0468120851183611,1,37.6
2018-02-10,48,38453,595,Unemployed,High School,26,30517,48,Divorced,0,Own,560,0.3824377045646856,0,0,0.103003264767073,0,Home,0,22,20,5165,1539,46352,3481,3204.4166666666665,0.793542960098904,6,42871,0.228017,0.2262305329127014,971.8230602281166,0.4780349185430889,0,54.0
2018-02-11,42,99920,582,Self-Employed,Bachelor,20,23363,12,Single,3,Other,298,0.615080763381052,3,2,0.2058309595482642,0,Debt Consolidation,0,20,11,991,288,27778,23569,8326.666666666666,0.7297761837911412,10,4209,0.197363,0.1754356855019271,2136.847992796173,0.2924156916888919,1,44.8
2018-02-12,38,57860,591,Employed,High School,20,25576,96,Married,4,Rent,159,0.144070320692704,3,0,0.0743870323199498,0,Auto,0,27,1,2059,427,463089,25653,4821.666666666667,0.841298379347302,8,437436,0.265076,0.2876549577385666,683.4043512189653,0.1747122747083923,0,47.0
2018-02-13,36,30890,590,Employed,High School,16,10176,24,Divorced,2,Own,289,0.2138637490821043,3,1,0.1247302171537788,0,Education,0,23,6,11162,249,43010,28334,2574.1666666666665,0.808568548732828,7,14676,0.1901759999999999,0.1765266450530429,506.3215206405897,0.3089627143958264,0,53.0
2018-02-14,22,15561,500,Employed,High School,1,20169,36,Single,2,Rent,346,0.1042237707058156,6,0,0.3745583771833413,0,Debt Consolidation,0,25,13,1929,1463,16965,5913,1296.75,0.5982463066451033,4,11052,0.255169,0.2423902998160025,793.8209078280751,0.8789827706405052,0,55.0
2018-02-15,31,105957,530,Employed,High School,7,53987,72,Single,0,Other,399,0.0464504455465448,0,0,0.6210591922536411,0,Auto,0,31,16,4218,208,165299,69541,8829.75,0.5251864971506883,3,95758,0.303987,0.3267509877777587,1718.3773131502862,0.2398003695631571,0,54.0
2018-02-16,34,82887,545,Employed,High School,13,20996,84,Divorced,2,Other,471,0.3740170430031402,2,0,0.1515959478647919,0,Other,0,19,8,16502,1246,17748,117394,6907.25,0.9049310272334222,2,4958,0.273496,0.279583208405156,571.7878722615751,0.1509700491891237,0,50.0
2018-02-17,52,53555,631,Employed,Associate,31,29418,60,Divorced,1,Own,221,0.2577000441958514,0,1,0.1479091377421932,0,Education,0,28,20,9902,1607,12300,27582,4462.916666666667,0.8002982768774678,4,2753,0.218918,0.2176638798305933,808.5905593660116,0.2306990330014403,0,47.0
2018-02-18,44,105639,627,Employed,High School,20,20409,108,Widowed,0,Rent,387,0.2821744664134705,1,4,0.3270783966346243,0,Home,0,22,21,3379,5476,165235,22300,8803.25,0.6232275668280846,5,142935,0.251909,0.2637402272037486,495.9515749423792,0.1002983642339339,0,46.0
2018-02-19,18,58342,519,Employed,High School,0,10077,24,Single,3,Mortgage,592,0.1592144927585534,3,0,0.1928691558716403,0,Debt Consolidation,0,20,7,5076,230,25120,15562,4861.833333333333,0.9495358925293532,8,9558,0.225577,0.260699050163498,543.2493604262762,0.2335023195145061,0,50.0
2018-02-20,43,121939,653,Employed,Doctorate,25,41215,48,Divorced,0,Mortgage,220,0.5329414041983653,2,1,0.2444251231872098,0,Other,0,30,12,1365,4000,188167,2457,10161.583333333334,0.8446177031890929,8,185710,0.209715,0.1846492795717869,1220.7265633854008,0.1417817003634998,1,32.800000000000004
2018-02-21,35,16054,526,Employed,Associate,13,20612,36,Married,1,Own,465,0.1443622367669244,1,2,0.2065330441829189,0,Education,0,25,21,4127,665,51140,11870,1337.8333333333333,0.6159170722807443,6,39270,0.242612,0.2316638280282655,799.6733391447596,0.9453145676926072,0,53.0
2018-02-22,31,36057,592,Employed,Associate,11,29501,36,Married,3,Other,384,0.231684159042131,4,0,0.187428659092861,0,Home,0,18,12,2220,438,19637,56982,3004.75,0.7319871064477125,4,1500,0.218501,0.2142852811770499,1117.9536116840152,0.4998597592758183,0,51.0
2018-02-23,47,124086,631,Employed,High School,27,36798,24,Widowed,3,Mortgage,713,0.2244822886310728,6,1,0.3397144748555306,0,Auto,0,27,24,3281,1704,32072,21593,10340.5,0.7159631549303098,6,10479,0.196298,0.1676517991879249,1815.227227787432,0.2444975801738244,1,39.2
2018-02-24,52,272693,586,Employed,Bachelor,28,19717,84,Married,0,Rent,278,0.3724747249366798,2,2,0.2701575024326625,0,Auto,0,19,13,801,1835,94338,5443,22724.416666666668,0.7444943912584154,8,88895,0.251717,0.2181145262191699,459.5963314611698,0.0324583175128589,1,38.400000000000006
2018-02-25,51,48757,615,Employed,Bachelor,27,16173,84,Divorced,3,Mortgage,817,0.2107139712881695,1,0,0.3053767173882865,0,Debt Consolidation,0,28,19,21739,266,39354,97462,4063.0833333333335,0.4913421694393113,2,3120,0.233673,0.221322804523553,380.1899401553989,0.2946505995419076,0,52.0
2018-02-26,29,31683,498,Employed,Associate,5,10566,24,Married,2,Other,183,0.44355410578573,4,2,0.0903706187413158,0,Debt Consolidation,0,22,12,30896,2581,278821,123883,2640.25,0.829092654201392,5,154938,0.2365659999999999,0.2094714381765813,542.6665153221236,0.2748476528064098,0,48.0
2018-02-27,36,69003,499,Self-Employed,Associate,11,5376,96,Single,4,Mortgage,458,0.3676627894804439,6,2,0.1743798193059494,0,Auto,0,28,11,983,1153,37496,23994,5750.25,0.7790233571979756,3,13502,0.2908759999999999,0.2484149684060046,129.3875730579447,0.1021499192309803,1,42.400000000000006
2018-02-28,43,72408,616,Employed,Bachelor,18,23181,48,Married,0,Rent,803,0.2346544414979507,1,2,0.3654388165555161,1,Debt Consolidation,0,22,29,3815,305,22524,33442,6034.0,0.820967193532392,4,5786,0.210181,0.2522172,771.4847975541575,0.2609354984345637,0,63.0
2018-03-01,51,105087,653,Employed,Master,33,48331,108,Single,1,Mortgage,772,0.1169995622862777,5,1,0.1805575456028504,0,Auto,1,22,24,21204,2121,201313,59261,8757.25,0.5741986017645414,4,142052,0.266831,0.2737124988995358,1208.1533253808643,0.2261158840253349,0,44.0
2018-03-02,34,15000,607,Employed,Master,11,26412,96,Married,1,Own,468,0.0312666074670237,1,2,0.3501123923122793,0,Home,0,18,22,2232,2085,234374,11163,1250.0,0.8258669004979884,6,223211,0.257912,0.2764505169969469,685.4486806693817,0.9227589445355052,0,48.0
2018-03-03,37,38513,600,Self-Employed,High School,16,21225,48,Divorced,2,Rent,373,0.5186353659043479,2,0,0.1684358288403604,0,Education,0,22,29,1458,340,44836,28653,3209.4166666666665,0.8752034217599216,4,16183,0.216225,0.2311041625309269,681.5771431207845,0.3285884173512688,0,52.0
2018-03-04,26,77555,527,Employed,Bachelor,5,22854,36,Married,0,Rent,499,0.0954795705875424,6,1,0.1882781482364729,0,Education,0,19,22,8710,691,39027,9580,6462.916666666667,0.8824741117777509,5,29447,0.244354,0.1999300668014297,849.2551010144613,0.2086140314895691,1,39.2
2018-03-05,25,15000,576,Employed,High School,1,18177,48,Single,0,Mortgage,528,0.2733122633825723,6,1,0.2360832262016053,0,Home,0,25,3,5689,1111,99036,274582,1250.0,0.8687197721258745,3,1077,0.225177,0.2198549053492861,572.5428040888214,0.8804342432710571,0,57.0
2018-03-06,49,24973,611,Employed,Bachelor,30,17466,48,Married,3,Own,336,0.2800815869769942,1,0,0.4149944474463848,0,Auto,0,23,12,3167,1547,44944,30121,2081.083333333333,0.8723462860748266,9,14823,0.206966,0.2214430975949385,551.6544409318947,0.4265347892196666,0,55.0
2018-03-07,56,18248,574,Employed,Associate,37,16443,24,Divorced,0,Own,733,0.2834741820252165,2,1,0.0636283363199063,0,Home,0,23,20,2682,548,204131,11483,1520.6666666666667,0.9338919368558886,2,192648,0.204443,0.1736984562994106,815.9042462329553,1.018569210587213,0,48.0
2018-03-08,39,67367,615,Self-Employed,Associate,15,26889,48,Married,1,Mortgage,317,0.0079659183933911,4,0,0.4659121203237648,0,Debt Consolidation,0,29,24,8241,5430,115099,16012,5613.916666666667,0.5254568787953385,4,99087,0.214389,0.1715112,777.9871224967229,0.1950486955031495,1,42.400000000000006
2018-03-09,52,32418,647,Employed,Bachelor,29,32208,12,Married,2,Rent,447,0.4134019823146939,1,0,0.3187597670827545,0,Auto,0,26,3,2926,533,326015,12696,2701.5,0.7782867665556822,3,313319,0.173708,0.1507093998795362,2908.117979703395,1.241946318602034,0,50.0
2018-03-10,44,26879,649,Employed,Bachelor,21,20313,60,Married,1,Rent,562,0.4332425002437474,3,2,0.2196495791430893,0,Home,0,22,29,4029,3740,94575,23485,2239.9166666666665,0.7542214073775044,5,71090,0.200813,0.1989639513607613,536.999939490595,0.4906432260830812,0,50.0
2018-03-11,32,54128,620,Employed,Bachelor,11,20676,36,Single,0,Mortgage,322,0.2634989466223707,2,1,0.1001359210966172,0,Home,0,32,7,4943,388,92000,4196,4510.666666666667,0.7899474592022075,1,87804,0.195676,0.1777530372100154,745.1584241528697,0.2365855211689778,1,36.8
2018-03-12,44,19924,535,Employed,High School,20,21767,48,Married,0,Mortgage,495,0.2453260140229627,3,0,0.3843523709782191,0,Education,0,32,19,21032,1679,22711,8051,1660.3333333333333,0.8144556737015609,8,14660,0.249267,0.2991204,782.6292869929284,0.7695016785743396,0,56.0
2018-03-13,58,90788,672,Employed,Bachelor,34,18243,36,Married,2,Mortgage,153,0.2979257232305213,3,0,0.1466334645866133,0,Debt Consolidation,0,20,21,1980,1139,13542,32218,7565.666666666667,0.7530314751383508,6,5911,0.167243,0.1404285694238773,623.8822990927248,0.102685240220213,1,34.4
2018-03-14,39,190445,619,Employed,Master,16,28894,36,Single,3,Mortgage,304,0.2636491392588649,4,1,0.0128331622197715,0,Other,0,24,8,2857,956,154003,38230,15870.416666666666,0.9612516119421664,6,115773,0.204394,0.2141253058596204,1094.712989199109,0.0881333501556318,1,33.6
2018-03-15,58,35372,612,Employed,High School,38,25313,24,Married,1,Mortgage,424,0.291020375896654,3,0,0.4043888356972662,0,Education,0,20,26,2811,3235,123931,4752,2947.6666666666665,0.8572348846551523,3,119179,0.1943129999999999,0.1969996578311956,1284.618306282223,0.5796511273150141,0,50.0
2018-03-16,18,15000,570,Employed,Associate,0,50226,48,Married,1,Mortgage,537,0.2081155309488201,10,0,0.2267352834345347,0,Debt Consolidation,1,16,26,3575,3286,153676,71478,1250.0,0.7835636283739139,3,82198,0.260226,0.228380005946275,1605.3625699782506,1.7138900559826005,0,58.0
2018-03-17,49,40829,617,Employed,Bachelor,25,25478,36,Married,1,Mortgage,785,0.0732205581912403,3,0,0.2537459242072161,0,Auto,0,11,14,2267,1111,42122,7348,3402.4166666666665,0.9519486310258534,0,34774,0.201978,0.1793120992231495,920.2117648607896,0.5011766435212588,0,49.0
2018-03-18,41,58655,523,Employed,Associate,16,26493,96,Single,4,Mortgage,206,0.4153044222038413,4,0,0.1751875631410331,0,Other,0,24,13,2003,1731,64414,41991,4887.916666666667,0.8527137197285295,1,22423,0.299993,0.3344401374117971,795.1657822698164,0.2048246421828965,0,51.0
2018-03-19,36,68801,531,Employed,Bachelor,14,18652,36,Single,0,Rent,1044,0.1655157134903838,1,2,0.3352329239387456,0,Auto,1,30,16,1810,630,446359,16938,5733.416666666667,0.554409422563644,2,429421,0.238152,0.2857824,777.3521551115733,0.3176730841316096,0,53.0
2018-03-20,41,92731,619,Employed,Bachelor,19,31116,48,Single,1,Rent,396,0.1230518515092504,4,1,0.2211172138523826,0,Home,0,20,3,3025,1004,11209,14838,7727.583333333333,0.5537108281243177,3,7629,0.216616,0.2154245032726364,972.6302005988942,0.1771097303726556,0,50.0
2018-03-21,18,40050,545,Self-Employed,Doctorate,0,112253,48,Married,1,Rent,406,0.3061276212624648,4,1,0.184527533056013,0,Home,1,33,2,1506,726,18390,29714,3337.5,0.9370302423573678,4,7672,0.3347529999999999,0.3584856961488986,4432.382784161488,1.4497027068648651,0,64.0
2018-03-22,37,40784,618,Employed,Master,14,41465,72,Married,0,Own,370,0.1743262446861453,3,0,0.2037609569235825,0,Home,0,26,27,21978,1394,197632,25549,3398.6666666666665,0.8315009890937338,4,172083,0.247465,0.2927634730946802,1228.1601646621898,0.4702315117680041,0,45.0
2018-03-23,44,15000,588,Employed,High School,23,26563,48,Married,0,Mortgage,378,0.3089276425404629,3,3,0.2981084080452126,0,Home,0,24,21,1357,2246,496594,22556,1250.0,0.8808597634247228,6,474038,0.227563,0.2098160677696806,822.2789887950337,0.9602231910360268,0,48.0
2018-03-24,57,86699,615,Employed,Associate,39,7469,60,Single,0,Rent,413,0.1137618678075246,6,2,0.17913554613205,0,Home,0,18,24,1872,8480,36531,70691,7224.916666666667,0.9194949321063196,6,8130,0.204969,0.1988497365267741,197.40508700773685,0.0844861076147688,1,36.0
2018-03-25,33,17676,540,Employed,Associate,8,17801,48,Married,4,Own,226,0.1530945685800469,4,1,0.3556427908501307,0,Debt Consolidation,0,38,21,8380,1994,70945,22271,1473.0,0.8784232811240572,5,48674,0.242801,0.2438807925407874,584.170970661055,0.5500142367013272,0,55.0
2018-03-26,30,42752,517,Employed,High School,4,14379,36,Married,2,Rent,363,0.3577786360795207,3,0,0.2975879340693383,0,Auto,0,18,2,6094,1404,172820,26438,3562.6666666666665,0.816055799105247,4,146382,0.240879,0.239661811526782,563.8738944216548,0.2601629568923058,0,53.0
2018-03-27,33,29096,570,Employed,Associate,12,40138,24,Married,3,Other,685,0.1412970784565487,2,1,0.2394469395065947,0,Debt Consolidation,0,28,19,1461,1471,86250,50013,2424.6666666666665,0.7607583903351405,4,36237,0.230138,0.2486006220333732,2139.408949094737,1.164864840154552,0,53.0
2018-03-28,50,60992,663,Employed,Bachelor,30,24642,48,Single,0,Rent,664,0.2526376838731083,0,0,0.0555881712831942,0,Home,0,28,17,4726,1723,52202,13350,5082.666666666667,0.9171479632528536,4,38852,0.188142,0.2164492880291759,771.6304125662359,0.2824561409823392,0,44.0
2018-03-29,43,100032,524,Employed,Master,21,19105,60,Married,0,Mortgage,824,0.106728644103128,5,0,0.2266498679075305,1,Education,0,24,29,9197,302,49889,4301,8336.0,0.8314939467511734,6,45588,0.262105,0.209684,516.5148902524263,0.160810327525483,1,49.6
2018-03-30,33,35882,620,Employed,Master,11,9259,48,Single,0,Own,257,0.1702458363341031,3,0,0.1475930047073919,0,Home,0,23,11,3552,1162,61154,91262,2990.1666666666665,0.8833715788381252,3,8266,0.194259,0.2000114779249506,281.76038720038355,0.1801773771362968,0,47.0
2018-03-31,46,32781,623,Employed,High School,22,17468,60,Married,1,Other,1180,0.0874823837188859,4,0,0.0937773219549579,0,Debt Consolidation,0,23,19,7428,2122,299192,4938,2731.75,0.6609536549602993,2,294254,0.210968,0.2320653232549298,494.5061263795844,0.6129792720342581,0,41.0
2018-04-01,41,51707,585,Employed,Bachelor,18,20069,72,Married,3,Rent,407,0.0059223893278881,5,0,0.2173883786590151,0,Home,0,25,7,3815,1252,24114,24580,4308.916666666667,0.8373237138844005,4,2253,0.242569,0.268223329089061,563.2583042698386,0.2251745344196735,0,52.0
