applicant_id,ground_truth,ca_decision,ca_matches_ground,ca_stage_1,ca_stage_2,ca_stage_3,ca_stage_4,ca_time,ca_used_prior_context,ca_error
test_00029,1,APPROVED,True,pass,Good,High,APPROVED,6.585878610610962,True,False
test_00030,0,APPROVED,False,pass,Good,Very High,APPROVED,6.53413462638855,True,False
test_00031,0,APPROVED,False,pass,Good,Very High,APPROVED,6.608986854553223,True,False
test_00032,0,REJECTED,True,pass,Good,High,REJECTED,7.078703880310059,True,False
test_00033,1,APPROVED,True,pass,Good,High,APPROVED,6.751767873764038,True,False
test_00034,1,REJECTED,False,pass,Good,High,REJECTED,6.81998085975647,True,False
test_00035,0,REJECTED,True,pass,Good,High,REJECTED,7.4383225440979,True,False
test_00036,0,REJECTED,True,pass,Good,Very High,REJECTED,6.87958550453186,True,False
test_00037,0,APPROVED,False,pass,Good,High,APPROVED,6.87651801109314,True,False
test_00038,0,APPROVED,False,pass,Good,High,APPROVED,6.26477837562561,True,False
test_00039,0,APPROVED,False,pass,Excellent,High,APPROVED,6.6780993938446045,True,False
test_00040,0,REJECTED,True,pass,Good,Very High,REJECTED,6.503799676895142,True,False
test_00041,0,REJECTED,True,pass,Good,High,REJECTED,6.9962687492370605,True,False
test_00042,0,REJECTED,True,pass,Good,High,REJECTED,6.4250688552856445,True,False
test_00043,0,REJECTED,True,pass,Good,High,REJECTED,6.060401678085327,True,False
test_00044,0,REJECTED,True,pass,Good,Very High,REJECTED,6.307564973831177,True,False
test_00045,0,REJECTED,True,pass,Good,Very High,REJECTED,5.633553743362427,True,False
test_00046,0,REJECTED,True,pass,Good,High,REJECTED,6.605613470077515,True,False
test_00047,0,REJECTED,True,pass,Good,High,REJECTED,6.481218099594116,True,False
test_00048,0,REJECTED,True,pass,Good,High,REJECTED,6.556678771972656,True,False
test_00049,0,APPROVED,False,fail,Good,High,APPROVED,6.87090539932251,True,False
test_00050,0,REJECTED,True,pass,Good,Very High,REJECTED,10.09839415550232,True,False
test_00051,0,REJECTED,True,pass,Good,High,REJECTED,6.454956769943237,True,False
test_00052,0,REJECTED,True,fail,Good,High,REJECTED,6.806352376937866,True,False
test_00053,0,APPROVED,False,pass,Good,Very High,APPROVED,6.36138391494751,True,False
test_00054,0,REJECTED,True,pass,Good,Very High,REJECTED,6.233905076980591,True,False
test_00055,1,REJECTED,False,pass,Good,High,REJECTED,6.089453935623169,True,False
test_00056,1,REJECTED,False,pass,Good,High,REJECTED,6.575965642929077,True,False
test_00057,0,REJECTED,True,pass,Good,High,REJECTED,5.982510328292847,True,False
test_00058,0,REJECTED,True,pass,Good,High,REJECTED,6.753595590591431,True,False
test_00059,0,REJECTED,True,pass,Good,High,REJECTED,7.227967023849487,True,False
test_00060,0,REJECTED,True,pass,Good,High,REJECTED,6.012401342391968,True,False
test_00061,1,APPROVED,True,pass,Good,High,APPROVED,6.903270244598389,True,False
test_00062,0,REJECTED,True,pass,Good,Very High,REJECTED,6.3111631870269775,True,False
test_00063,0,REJECTED,True,fail,Good,High,REJECTED,7.230350971221924,True,False
test_00064,0,REJECTED,True,pass,Good,High,REJECTED,6.251006364822388,True,False
test_00065,1,REJECTED,False,pass,Good,Very High,REJECTED,6.3925254344940186,True,False
test_00066,0,REJECTED,True,fail,Good,High,REJECTED,6.99760365486145,True,False
test_00067,0,APPROVED,False,pass,Good,High,APPROVED,6.557476282119751,True,False
test_00068,0,REJECTED,True,fail,Good,High,REJECTED,6.415711164474487,True,False
test_00069,0,REJECTED,True,pass,Good,High,REJECTED,6.425747871398926,True,False
test_00070,0,REJECTED,True,pass,Good,High,REJECTED,6.74451208114624,True,False
test_00071,0,REJECTED,True,fail,Good,Very High,REJECTED,6.682085752487183,True,False
test_00072,0,REJECTED,True,fail,Good,Very High,REJECTED,7.45710015296936,True,False
test_00073,0,REJECTED,True,pass,Good,Very High,REJECTED,5.9124908447265625,True,False
test_00074,0,APPROVED,False,pass,Good,High,APPROVED,6.353714466094971,True,False
test_00075,0,REJECTED,True,pass,Good,High,REJECTED,6.54282283782959,True,False
test_00076,0,APPROVED,False,pass,Good,High,APPROVED,7.054040193557739,True,False
test_00077,0,REJECTED,True,pass,Good,Very High,REJECTED,7.279720067977905,True,False
test_00078,0,REJECTED,True,pass,Good,Very High,REJECTED,6.658364295959473,True,False
test_00079,1,REJECTED,False,pass,Good,Very High,REJECTED,8.08189582824707,True,False
test_00080,0,REJECTED,True,pass,Good,High,REJECTED,6.806159496307373,True,False
test_00081,0,APPROVED,False,pass,Good,Very High,APPROVED,6.34079384803772,True,False
test_00082,0,REJECTED,True,pass,Good,Medium,REJECTED,6.637069940567017,True,False
test_00083,0,APPROVED,False,pass,Good,High,APPROVED,7.3148581981658936,True,False
test_00084,0,REJECTED,True,pass,Good,High,REJECTED,7.035602569580078,True,False
test_00085,0,REJECTED,True,pass,Good,Very High,REJECTED,6.939854383468628,True,False
test_00086,0,REJECTED,True,pass,Good,High,REJECTED,6.2728118896484375,True,False
test_00087,0,APPROVED,False,pass,Good,High,APPROVED,7.645840167999268,True,False
test_00088,0,REJECTED,True,fail,Good,High,REJECTED,6.542899131774902,True,False
test_00089,0,REJECTED,True,fail,Good,Very High,REJECTED,7.866607427597046,True,False
test_00090,0,REJECTED,True,pass,Good,High,REJECTED,6.269418716430664,True,False
test_00091,0,REJECTED,True,pass,Good,Very High,REJECTED,6.892164707183838,True,False
test_00092,0,REJECTED,True,pass,Good,High,REJECTED,7.093791961669922,True,False
test_00093,0,REJECTED,True,fail,Good,High,REJECTED,7.532102108001709,True,False
test_00094,0,APPROVED,False,pass,Good,High,APPROVED,7.119825839996338,True,False
test_00095,1,REJECTED,False,pass,Good,High,REJECTED,7.470284700393677,True,False
test_00096,0,REJECTED,True,pass,Good,Very High,REJECTED,6.863770484924316,True,False
test_00097,0,REJECTED,True,pass,Good,High,REJECTED,7.370813846588135,True,False
test_00098,0,REJECTED,True,pass,Good,Very High,REJECTED,7.039212226867676,True,False
test_00099,0,APPROVED,False,pass,Good,High,APPROVED,6.184065818786621,True,False
