applicant_id,ground_truth,bl_decision,bl_matches_ground,bl_stage_1,bl_stage_2,bl_stage_3,bl_stage_4,bl_time,bl_used_prior_context,bl_error
test_00042,0,REJECTED,1,pass,Good,Low,REJECTED,3.549591343100457,False,False
test_00043,1,REJECTED,0,pass,Good,High,REJECTED,3.4563937921558368,False,True
test_00044,0,REJECTED,1,pass,Good,Medium,REJECTED,3.4250482813780496,False,False
test_00045,1,APPROVED,1,pass,Good,Low,APPROVED,3.4271721626683203,False,False
test_00046,0,APPROVED,0,pass,Very Good,High,APPROVED,3.3889918992067023,False,True
test_00047,1,APPROVED,1,pass,Good,Low,APPROVED,3.4524446114895078,False,False
test_00048,1,APPROVED,1,pass,Fair,Very High,APPROVED,3.4377710056336013,False,False
test_00049,0,REJECTED,1,pass,Very Good,Low,REJECTED,3.4041590592694826,False,False
test_00050,1,APPROVED,1,pass,Poor,Low,APPROVED,3.382108017320352,False,False
test_00051,1,APPROVED,1,pass,Good,Low,APPROVED,3.412247773733511,False,False
test_00052,1,APPROVED,1,pass,Fair,Very High,APPROVED,3.451736665537546,False,False
test_00053,1,APPROVED,1,pass,Good,High,APPROVED,3.3616666544569602,False,False
test_00054,1,REJECTED,0,pass,Fair,High,REJECTED,3.380748805716791,False,True
test_00055,1,APPROVED,1,pass,Excellent,Medium,APPROVED,3.5395314533938187,False,False
test_00056,0,REJECTED,1,pass,Fair,Medium,REJECTED,3.4585710702062675,False,False
test_00057,0,APPROVED,0,pass,Excellent,Low,APPROVED,3.3626898607320075,False,True
test_00058,0,REJECTED,1,pass,Fair,Medium,REJECTED,3.4886175517539146,False,False
test_00059,0,REJECTED,1,pass,Poor,Medium,REJECTED,3.362360574015807,False,False
test_00060,0,REJECTED,1,pass,Very Good,High,REJECTED,3.4977748454092743,False,False
test_00061,0,REJECTED,1,pass,Very Good,Medium,REJECTED,3.499992544344005,False,False
test_00062,1,APPROVED,1,pass,Fair,Very High,APPROVED,3.4802157951498502,False,False
test_00063,0,REJECTED,1,pass,Very Good,Low,REJECTED,3.4964409089238697,False,False
test_00064,0,REJECTED,1,pass,Fair,Very High,REJECTED,3.3675931562026116,False,False
test_00065,1,APPROVED,1,pass,Excellent,Low,APPROVED,3.4953561104710533,False,False
test_00066,0,REJECTED,1,pass,Excellent,Medium,REJECTED,3.3773376639447767,False,False
test_00067,1,APPROVED,1,pass,Poor,Medium,APPROVED,3.417901181454369,False,False
test_00068,0,REJECTED,1,pass,Good,Medium,REJECTED,3.5385490507001265,False,False
test_00069,1,APPROVED,1,pass,Fair,Medium,APPROVED,3.450575095531828,False,False
test_00070,1,APPROVED,1,pass,Very Good,Medium,APPROVED,3.5434852864166024,False,False
test_00071,0,REJECTED,1,pass,Good,Medium,REJECTED,3.3677844917773476,False,False
test_00072,0,APPROVED,0,pass,Good,High,APPROVED,3.445511319912636,False,True
test_00073,1,REJECTED,0,pass,Good,High,REJECTED,3.3624804640553743,False,True
test_00074,1,REJECTED,0,pass,Good,High,REJECTED,3.476042052479857,False,True
test_00075,1,APPROVED,1,pass,Good,Low,APPROVED,3.3657414002737034,False,False
test_00076,1,APPROVED,1,pass,Good,High,APPROVED,3.3850735605080757,False,False
test_00077,0,REJECTED,1,pass,Very Good,Medium,REJECTED,3.401766062013856,False,False
test_00078,0,REJECTED,1,pass,Fair,Medium,REJECTED,3.4997487703328964,False,False
test_00079,0,REJECTED,1,pass,Very Good,Medium,REJECTED,3.382792423763615,False,False
test_00080,1,APPROVED,1,pass,Good,Medium,APPROVED,3.5193264106586133,False,False
test_00081,1,APPROVED,1,pass,Very Good,Low,APPROVED,3.37638078776616,False,False
test_00082,0,REJECTED,1,pass,Good,Low,REJECTED,3.357048889814031,False,False
test_00083,0,APPROVED,0,pass,Fair,Low,APPROVED,3.4290090837939333,False,True
test_00084,0,REJECTED,1,pass,Very Good,High,REJECTED,3.545888328394259,False,False
test_00085,0,APPROVED,0,pass,Excellent,High,APPROVED,3.3720684455577556,False,True
test_00086,1,APPROVED,1,pass,Excellent,Very High,APPROVED,3.370343688807926,False,False
test_00087,1,REJECTED,0,pass,Good,High,REJECTED,3.5002333021591245,False,True
test_00088,1,APPROVED,1,pass,Fair,Low,APPROVED,3.412432338798713,False,False
test_00089,0,APPROVED,0,pass,Excellent,Very High,APPROVED,3.4934563234451432,False,True
test_00090,0,REJECTED,1,pass,Fair,Very High,REJECTED,3.3900021178886726,False,False
test_00091,1,APPROVED,1,pass,Very Good,Medium,APPROVED,3.4420143988396323,False,False
test_00092,1,APPROVED,1,pass,Good,Medium,APPROVED,3.4030579755497836,False,False
test_00093,1,APPROVED,1,pass,Poor,Very High,APPROVED,3.4403056429758174,False,False
test_00094,1,REJECTED,0,pass,Very Good,Medium,REJECTED,3.5038194185170606,False,True
test_00095,0,APPROVED,0,pass,Good,Very High,APPROVED,3.5024019880955324,False,True
test_00096,1,APPROVED,1,pass,Excellent,Low,APPROVED,3.453154457534745,False,False
test_00097,0,REJECTED,1,pass,Excellent,Low,REJECTED,3.53567436874421,False,False
test_00098,0,REJECTED,1,pass,Very Good,Medium,REJECTED,3.402756820489655,False,False
test_00099,0,APPROVED,0,pass,Excellent,Medium,APPROVED,3.3980622702238468,False,True
test_00100,0,REJECTED,1,pass,Good,High,REJECTED,3.4727612802350865,False,False
test_00101,1,APPROVED,1,pass,Good,Very High,APPROVED,3.4742594068433577,False,False
test_00102,0,REJECTED,1,pass,Good,Medium,REJECTED,3.3593080079129947,False,False
test_00103,1,APPROVED,1,pass,Very Good,Low,APPROVED,3.4715555424773794,False,False
test_00104,1,APPROVED,1,pass,Very Good,High,APPROVED,3.424887231469803,False,False
test_00105,0,REJECTED,1,pass,Good,High,REJECTED,3.499488505064112,False,False
test_00106,0,REJECTED,1,pass,Poor,Low,REJECTED,3.5116211329090543,False,False
test_00107,1,REJECTED,0,pass,Excellent,Medium,REJECTED,3.4604307639094074,False,True
test_00108,0,REJECTED,1,pass,Fair,High,REJECTED,3.3503410063004533,False,False
test_00109,0,REJECTED,1,pass,Good,High,REJECTED,3.4772731620333284,False,False
test_00110,0,REJECTED,1,pass,Good,Medium,REJECTED,3.499776255933187,False,False
test_00111,0,REJECTED,1,pass,Good,Medium,REJECTED,3.3997966532463026,False,False
test_00112,1,APPROVED,1,pass,Excellent,Very High,APPROVED,3.4429292002281575,False,False
test_00113,1,REJECTED,0,pass,Excellent,High,REJECTED,3.5431453246823574,False,True
test_00114,1,REJECTED,0,pass,Good,Medium,REJECTED,3.4096231106788206,False,True
test_00115,1,REJECTED,0,pass,Very Good,Medium,REJECTED,3.3946306502083483,False,True
test_00116,1,REJECTED,0,pass,Poor,High,REJECTED,3.392170958095602,False,True
test_00117,0,REJECTED,1,pass,Good,Low,REJECTED,3.4617601668707993,False,False
test_00118,1,APPROVED,1,pass,Excellent,Low,APPROVED,3.5399574202616013,False,False
test_00119,1,APPROVED,1,pass,Fair,Medium,APPROVED,3.4717380258400707,False,False
test_00120,1,REJECTED,0,pass,Very Good,Medium,REJECTED,3.410664624047532,False,True
test_00121,1,APPROVED,1,pass,Good,High,APPROVED,3.4777139556134906,False,False
test_00122,0,REJECTED,1,pass,Good,Low,REJECTED,3.4749684595195576,False,False
test_00123,0,REJECTED,1,pass,Poor,High,REJECTED,3.4693850271459308,False,False
test_00124,0,REJECTED,1,pass,Fair,Medium,REJECTED,3.3818852413776606,False,False
test_00125,0,REJECTED,1,pass,Good,Low,REJECTED,3.4769133598689987,False,False
test_00126,1,REJECTED,0,pass,Good,Low,REJECTED,3.4360328905029,False,True
test_00127,1,APPROVED,1,pass,Poor,Very High,APPROVED,3.3537184117246066,False,False
test_00128,0,APPROVED,0,pass,Very Good,Very High,APPROVED,3.457952897429499,False,True
test_00129,1,APPROVED,1,pass,Excellent,Low,APPROVED,3.547853349043683,False,False
test_00130,0,REJECTED,1,pass,Very Good,High,REJECTED,3.4199479181687966,False,False
test_00131,0,APPROVED,0,pass,Very Good,High,APPROVED,3.5431118436637314,False,True
test_00132,0,APPROVED,0,pass,Good,Very High,APPROVED,3.369241148332519,False,True
test_00133,0,REJECTED,1,pass,Good,Medium,REJECTED,3.496490023173461,False,False
test_00134,1,APPROVED,1,pass,Good,High,APPROVED,3.3728659989325673,False,False
test_00135,0,REJECTED,1,pass,Excellent,Low,REJECTED,3.404714314711055,False,False
test_00136,1,APPROVED,1,pass,Fair,Medium,APPROVED,3.464168167064425,False,False
test_00137,1,APPROVED,1,pass,Very Good,Very High,APPROVED,3.4685559387953497,False,False
test_00138,0,APPROVED,0,pass,Good,Medium,APPROVED,3.505042263446834,False,True
test_00139,1,APPROVED,1,pass,Good,Medium,APPROVED,3.473062281445488,False,False
test_00140,1,APPROVED,1,pass,Very Good,Low,APPROVED,3.468722940876112,False,False
test_00141,0,REJECTED,1,pass,Excellent,High,REJECTED,3.5324706173978275,False,False
test_00142,0,APPROVED,0,pass,Excellent,High,APPROVED,3.4404321504418314,False,True
test_00143,0,APPROVED,0,pass,Fair,Medium,APPROVED,3.395053155739011,False,True
test_00144,0,REJECTED,1,pass,Poor,Very High,REJECTED,3.382357717004726,False,False
test_00145,0,REJECTED,1,pass,Good,Low,REJECTED,3.4299989193619,False,False
test_00146,1,APPROVED,1,pass,Excellent,Medium,APPROVED,3.492550551038739,False,False
test_00147,1,APPROVED,1,pass,Good,Very High,APPROVED,3.35850869698598,False,False
test_00148,0,REJECTED,1,pass,Fair,Medium,REJECTED,3.3758106773018812,False,False
test_00149,0,APPROVED,0,pass,Fair,Medium,APPROVED,3.3712226920207278,False,True
test_00150,1,REJECTED,0,pass,Excellent,Medium,REJECTED,3.4670500306102916,False,True
test_00151,0,REJECTED,1,pass,Excellent,High,REJECTED,3.398572930106253,False,False
test_00152,0,REJECTED,1,pass,Fair,Low,REJECTED,3.3832518856602793,False,False
test_00153,0,REJECTED,1,pass,Very Good,Very High,REJECTED,3.4685541439486043,False,False
test_00154,1,APPROVED,1,pass,Very Good,High,APPROVED,3.5022619830904755,False,False
test_00155,0,REJECTED,1,pass,Excellent,Low,REJECTED,3.416430983290533,False,False
test_00156,1,APPROVED,1,pass,Good,High,APPROVED,3.465640921135319,False,False
test_00157,1,APPROVED,1,pass,Fair,Medium,APPROVED,3.3696248826398922,False,False
test_00158,0,REJECTED,1,pass,Poor,Medium,REJECTED,3.537038206091514,False,False
test_00159,1,APPROVED,1,pass,Good,High,APPROVED,3.4173792370629545,False,False
test_00160,0,REJECTED,1,pass,Good,Very High,REJECTED,3.5495011386347,False,False
test_00161,1,APPROVED,1,pass,Excellent,Low,APPROVED,3.545717551169956,False,False
test_00162,1,APPROVED,1,pass,Good,Medium,APPROVED,3.505764689867162,False,False
test_00163,1,APPROVED,1,pass,Very Good,Medium,APPROVED,3.3540134190813933,False,False
test_00164,0,REJECTED,1,pass,Good,Medium,REJECTED,3.458694984076873,False,False
test_00165,1,REJECTED,0,pass,Very Good,Medium,REJECTED,3.3673672840880022,False,True
test_00166,0,REJECTED,1,pass,Very Good,Low,REJECTED,3.529027605192303,False,False
test_00167,0,APPROVED,0,pass,Excellent,High,APPROVED,3.5079272505294803,False,True
test_00168,0,REJECTED,1,pass,Very Good,Medium,REJECTED,3.5444680753191364,False,False
test_00169,1,APPROVED,1,pass,Excellent,Low,APPROVED,3.471676590629959,False,False
test_00170,1,APPROVED,1,pass,Very Good,High,APPROVED,3.4544345608968676,False,False
test_00171,0,REJECTED,1,pass,Poor,High,REJECTED,3.4537947711888775,False,False
test_00172,1,REJECTED,0,pass,Good,Medium,REJECTED,3.427289674890869,False,True
test_00173,0,APPROVED,0,pass,Good,Medium,APPROVED,3.443738013445828,False,True
test_00174,1,REJECTED,0,pass,Fair,High,REJECTED,3.47708251662707,False,True
test_00175,0,REJECTED,1,pass,Poor,Medium,REJECTED,3.5365895215112553,False,False
test_00176,1,APPROVED,1,pass,Good,Low,APPROVED,3.469176867651206,False,False
test_00177,0,REJECTED,1,pass,Fair,High,REJECTED,3.5214231884634732,False,False
test_00178,1,APPROVED,1,pass,Very Good,Low,APPROVED,3.5225559822605,False,False
test_00179,0,REJECTED,1,pass,Very Good,Low,REJECTED,3.4537665351696516,False,False
test_00180,0,APPROVED,0,pass,Good,Low,APPROVED,3.4194939282995245,False,True
test_00181,0,APPROVED,0,pass,Good,Low,APPROVED,3.477914774666416,False,True
test_00182,1,APPROVED,1,pass,Good,Low,APPROVED,3.4391754683829685,False,False
test_00183,1,APPROVED,1,pass,Very Good,Very High,APPROVED,3.366288173464387,False,False
test_00184,0,REJECTED,1,pass,Excellent,Medium,REJECTED,3.425561820086487,False,False
test_00185,1,APPROVED,1,pass,Good,Low,APPROVED,3.548814427609865,False,False
test_00186,1,APPROVED,1,pass,Excellent,Low,APPROVED,3.3597023740052574,False,False
test_00187,1,REJECTED,0,pass,Good,Very High,REJECTED,3.489333382380185,False,True
test_00188,1,APPROVED,1,pass,Good,Medium,APPROVED,3.518237741014249,False,False
test_00189,0,REJECTED,1,pass,Fair,Medium,REJECTED,3.4797451806950757,False,False
test_00190,0,REJECTED,1,pass,Fair,Very High,REJECTED,3.463949646232658,False,False
test_00191,1,APPROVED,1,pass,Fair,Medium,APPROVED,3.4915108833957516,False,False
test_00192,1,REJECTED,0,pass,Good,Medium,REJECTED,3.4358685474599313,False,True
test_00193,1,APPROVED,1,pass,Fair,Low,APPROVED,3.3682723474617755,False,False
test_00194,0,APPROVED,0,pass,Good,Medium,APPROVED,3.542474350860676,False,True
test_00195,0,REJECTED,1,pass,Very Good,Medium,REJECTED,3.436460153996839,False,False
test_00196,1,APPROVED,1,pass,Excellent,High,APPROVED,3.4830778474336035,False,False
test_00197,1,APPROVED,1,pass,Very Good,Medium,APPROVED,3.456262087377859,False,False
test_00198,1,APPROVED,1,pass,Good,Medium,APPROVED,3.3609346143955108,False,False
test_00199,1,APPROVED,1,pass,Good,Low,APPROVED,3.5405493201985077,False,False
test_00200,1,APPROVED,1,pass,Fair,Low,APPROVED,3.5085074452228646,False,False
test_00201,0,REJECTED,1,pass,Very Good,Medium,REJECTED,3.379819578893879,False,False
test_00202,0,REJECTED,1,pass,Excellent,Very High,REJECTED,3.5463297752576532,False,False
test_00203,1,REJECTED,0,pass,Poor,Medium,REJECTED,3.4973802744343416,False,True
test_00204,1,REJECTED,0,pass,Excellent,High,REJECTED,3.444464330085662,False,True
test_00205,0,REJECTED,1,pass,Good,Medium,REJECTED,3.4722740113119146,False,False
test_00206,0,APPROVED,0,pass,Good,Low,APPROVED,3.3713473364029194,False,True
test_00207,1,APPROVED,1,pass,Good,Low,APPROVED,3.462082302003122,False,False
test_00208,0,REJECTED,1,pass,Excellent,Medium,REJECTED,3.364732214403412,False,False
test_00209,0,REJECTED,1,pass,Excellent,Low,REJECTED,3.4589710514238603,False,False
test_00210,1,REJECTED,0,pass,Excellent,Low,REJECTED,3.460539137752557,False,True
test_00211,1,APPROVED,1,pass,Good,High,APPROVED,3.5248877570321486,False,False
test_00212,1,APPROVED,1,pass,Good,Low,APPROVED,3.4950115000544586,False,False
test_00213,0,REJECTED,1,pass,Very Good,Medium,REJECTED,3.399910478443024,False,False
test_00214,1,APPROVED,1,pass,Good,Medium,APPROVED,3.527685228437571,False,False
test_00215,0,REJECTED,1,pass,Fair,Medium,REJECTED,3.4646485329696013,False,False
test_00216,0,REJECTED,1,pass,Excellent,Medium,REJECTED,3.4712758957148067,False,False
test_00217,1,APPROVED,1,pass,Good,Medium,APPROVED,3.383796273844436,False,False
test_00218,1,REJECTED,0,pass,Good,Medium,REJECTED,3.521554719193823,False,True
test_00219,1,REJECTED,0,pass,Very Good,High,REJECTED,3.5361930230033085,False,True
test_00220,1,REJECTED,0,pass,Very Good,Very High,REJECTED,3.5049981298989814,False,True
test_00221,1,APPROVED,1,pass,Good,Low,APPROVED,3.538150490529001,False,False
test_00222,0,REJECTED,1,pass,Fair,Low,REJECTED,3.410459980824469,False,False
test_00223,0,REJECTED,1,pass,Fair,Very High,REJECTED,3.522223833672554,False,False
test_00224,0,REJECTED,1,pass,Good,Medium,REJECTED,3.4477786285727485,False,False
test_00225,0,APPROVED,0,pass,Fair,Medium,APPROVED,3.382783440588717,False,True
test_00226,1,APPROVED,1,pass,Very Good,Medium,APPROVED,3.4837601198066803,False,False
test_00227,0,APPROVED,0,pass,Good,Low,APPROVED,3.4868240541411755,False,True
test_00228,1,APPROVED,1,pass,Good,Medium,APPROVED,3.407384902751338,False,False
test_00229,1,REJECTED,0,pass,Very Good,Medium,REJECTED,3.355498666325514,False,True
test_00230,1,APPROVED,1,pass,Fair,Low,APPROVED,3.389969451817113,False,False
test_00231,1,APPROVED,1,pass,Good,Medium,APPROVED,3.429955509534777,False,False
test_00232,1,APPROVED,1,pass,Very Good,High,APPROVED,3.383512582211974,False,False
test_00233,0,REJECTED,1,pass,Poor,Medium,REJECTED,3.388805989647921,False,False
test_00234,0,REJECTED,1,pass,Excellent,Low,REJECTED,3.428278132876454,False,False
test_00235,1,APPROVED,1,pass,Very Good,Medium,APPROVED,3.542357322861712,False,False
test_00236,0,REJECTED,1,pass,Excellent,High,REJECTED,3.5028487030815296,False,False
test_00237,0,APPROVED,0,pass,Fair,High,APPROVED,3.4139496802453126,False,True
test_00238,1,APPROVED,1,pass,Fair,High,APPROVED,3.5403208137837097,False,False
test_00239,0,REJECTED,1,pass,Very Good,Low,REJECTED,3.4791293584517464,False,False
test_00240,1,APPROVED,1,pass,Good,High,APPROVED,3.441089928928028,False,False
test_00241,1,APPROVED,1,pass,Very Good,High,APPROVED,3.4436600397910295,False,False
test_00242,1,APPROVED,1,pass,Fair,Low,APPROVED,3.4321488935670783,False,False
test_00243,0,REJECTED,1,pass,Good,Medium,REJECTED,3.396598410509188,False,False
test_00244,0,REJECTED,1,pass,Good,Medium,REJECTED,3.427326438442741,False,False
test_00245,1,APPROVED,1,pass,Poor,High,APPROVED,3.4555792768086784,False,False
test_00246,0,REJECTED,1,pass,Very Good,Low,REJECTED,3.455605470146044,False,False
test_00247,1,APPROVED,1,pass,Excellent,Medium,APPROVED,3.5023473804425036,False,False
test_00248,1,APPROVED,1,pass,Good,Very High,APPROVED,3.4217595714314704,False,False
test_00249,1,APPROVED,1,pass,Poor,High,APPROVED,3.4933596058607903,False,False
test_00250,0,REJECTED,1,pass,Very Good,Very High,REJECTED,3.465618367753737,False,False
test_00251,0,REJECTED,1,pass,Excellent,Very High,REJECTED,3.5423690809053667,False,False
test_00252,1,APPROVED,1,pass,Very Good,Low,APPROVED,3.4270569852067965,False,False
test_00253,0,REJECTED,1,pass,Good,High,REJECTED,3.530243292852158,False,False
test_00254,0,REJECTED,1,pass,Very Good,Medium,REJECTED,3.514128509459658,False,False
test_00255,1,REJECTED,0,pass,Good,Very High,REJECTED,3.4775328569178914,False,True
test_00256,1,APPROVED,1,pass,Poor,Medium,APPROVED,3.480902893348423,False,False
test_00257,1,APPROVED,1,pass,Good,Very High,APPROVED,3.3669299869212823,False,False
test_00258,1,APPROVED,1,pass,Very Good,High,APPROVED,3.540044921118686,False,False
test_00259,0,REJECTED,1,pass,Good,High,REJECTED,3.371387212699149,False,False
test_00260,1,APPROVED,1,pass,Excellent,Low,APPROVED,3.4626466617487015,False,False
test_00261,1,APPROVED,1,pass,Fair,Low,APPROVED,3.416014160089831,False,False
test_00262,0,APPROVED,0,pass,Good,High,APPROVED,3.43597039565797,False,True
test_00263,1,APPROVED,1,pass,Very Good,Low,APPROVED,3.472036602167363,False,False
test_00264,1,APPROVED,1,pass,Good,High,APPROVED,3.531770275576464,False,False
test_00265,1,APPROVED,1,pass,Good,Low,APPROVED,3.44151342471446,False,False
test_00266,1,REJECTED,0,pass,Good,High,REJECTED,3.547545911061288,False,True
test_00267,1,APPROVED,1,pass,Excellent,Medium,APPROVED,3.4685624130703,False,False
test_00268,0,REJECTED,1,pass,Fair,High,REJECTED,3.382110788528435,False,False
test_00269,0,REJECTED,1,pass,Poor,High,REJECTED,3.3880018589662506,False,False
test_00270,1,APPROVED,1,pass,Good,Medium,APPROVED,3.4932222071178503,False,False
test_00271,1,APPROVED,1,pass,Poor,Low,APPROVED,3.3600795588486765,False,False
test_00272,1,REJECTED,0,pass,Very Good,Low,REJECTED,3.446068315244445,False,True
test_00273,1,APPROVED,1,pass,Good,Medium,APPROVED,3.3796438219607032,False,False
test_00274,1,APPROVED,1,pass,Good,Medium,APPROVED,3.4366437270355688,False,False
test_00275,1,APPROVED,1,pass,Good,High,APPROVED,3.4999834844143436,False,False
test_00276,1,APPROVED,1,pass,Good,Medium,APPROVED,3.441762585648287,False,False
test_00277,1,APPROVED,1,pass,Very Good,Medium,APPROVED,3.3826902217961856,False,False
test_00278,1,APPROVED,1,pass,Excellent,Medium,APPROVED,3.4003850740713286,False,False
test_00279,1,APPROVED,1,pass,Very Good,Low,APPROVED,3.4235079177304364,False,False
test_00280,1,APPROVED,1,pass,Very Good,Medium,APPROVED,3.363912236697283,False,False
test_00281,0,APPROVED,0,pass,Fair,Very High,APPROVED,3.466867527216224,False,True
test_00282,0,APPROVED,0,pass,Very Good,Very High,APPROVED,3.47150675825561,False,True
test_00283,0,REJECTED,1,pass,Excellent,Medium,REJECTED,3.3624303854265136,False,False
test_00284,1,APPROVED,1,pass,Good,Medium,APPROVED,3.4304622642348326,False,False
test_00285,0,REJECTED,1,pass,Good,High,REJECTED,3.432800136576945,False,False
test_00286,0,APPROVED,0,pass,Fair,Medium,APPROVED,3.41676391371052,False,True
test_00287,1,APPROVED,1,pass,Good,Low,APPROVED,3.4615479480662223,False,False
test_00288,0,REJECTED,1,pass,Very Good,Low,REJECTED,3.4191914980120224,False,False
test_00289,1,APPROVED,1,pass,Fair,Medium,APPROVED,3.433281855895561,False,False
test_00290,0,REJECTED,1,pass,Good,Very High,REJECTED,3.509504709488321,False,False
test_00291,0,REJECTED,1,pass,Excellent,High,REJECTED,3.3824218710860405,False,False
test_00292,1,REJECTED,0,pass,Good,Low,REJECTED,3.473822939060684,False,True
test_00293,0,APPROVED,0,pass,Poor,Low,APPROVED,3.451118880338169,False,True
test_00294,0,REJECTED,1,pass,Very Good,High,REJECTED,3.4110143274958697,False,False
test_00295,1,APPROVED,1,pass,Very Good,High,APPROVED,3.495506931298082,False,False
test_00296,1,APPROVED,1,pass,Excellent,High,APPROVED,3.4602376719082297,False,False
test_00297,0,APPROVED,0,pass,Very Good,High,APPROVED,3.4454723053921392,False,True
test_00298,1,APPROVED,1,pass,Good,Low,APPROVED,3.48353386295424,False,False
test_00299,0,REJECTED,1,pass,Good,High,REJECTED,3.510458061596272,False,False
test_00300,0,REJECTED,1,pass,Excellent,High,REJECTED,3.544533758006715,False,False
test_00301,1,APPROVED,1,pass,Poor,Medium,APPROVED,3.475870073675275,False,False
test_00302,1,APPROVED,1,pass,Fair,High,APPROVED,3.5248879970800764,False,False
test_00303,1,APPROVED,1,pass,Good,Low,APPROVED,3.3502183082045915,False,False
test_00304,1,APPROVED,1,pass,Fair,Low,APPROVED,3.4560471385451783,False,False
test_00305,1,APPROVED,1,pass,Excellent,Low,APPROVED,3.3929295097540395,False,False
test_00306,1,APPROVED,1,pass,Good,Low,APPROVED,3.3688384914166276,False,False
test_00307,0,REJECTED,1,pass,Good,Medium,REJECTED,3.4563942034128785,False,False
test_00308,1,APPROVED,1,pass,Fair,Medium,APPROVED,3.499365301229819,False,False
test_00309,0,REJECTED,1,pass,Fair,Medium,REJECTED,3.432454504494876,False,False
test_00310,0,REJECTED,1,pass,Very Good,Medium,REJECTED,3.484021489868887,False,False
test_00311,0,APPROVED,0,pass,Poor,Medium,APPROVED,3.44794385076819,False,True
test_00312,0,REJECTED,1,pass,Excellent,Low,REJECTED,3.4374171731918852,False,False
test_00313,1,APPROVED,1,pass,Fair,High,APPROVED,3.408051328087172,False,False
test_00314,1,APPROVED,1,pass,Poor,Medium,APPROVED,3.426518702900201,False,False
